name,rating,number_voted,street,suburb,postcode,lat,lon
Papa Gino's,81,160,221 Lygon Street,Carlton,3053,-37.800137,144.966858
Paris Go,82,86,116 Rathdowne St,Carlton,3053,-37.798286,144.970169
Pasta Rustica Ristorante,83,42,150 Lygon St,Carlton,3053,-37.803703,144.966568
Patee Thai,86,90,373 Brunswick St,Fitzroy,3065,-37.796112,144.978653
Pearls Take Away,28,7,196 Pelham St,Carlton,3053,-37.801868,144.959396
Penang Affair,77,49,325 Brunswick St,Fitzroy,3065,-37.797401,144.978455
Percy's Bar (Astor Hotel),80,15,418 Lygon St,Carlton,3053,-37.797146,144.967712
Pho 54 Mandalay Bay,86,38,183 Brunswick St,Fitzroy,3065,-37.802013,144.977646
Piazza Museo  (Melbourne Museum),80,5,11 Nicholson St,Carlton,3053,-37.803646,144.973663
Piccante Cafe,89,37,216 St Georges Rd,Melbourne,3068,-37.784004,144.983414
Piccolo Mondo,35,45,240 Lygon St,Carlton,3053,-37.801617,144.966934
Pinotta,90,10,32 Best street,Fitzroy North,3068,-37.784245,144.983292
Pireaus Blues,70,125,310 Brunswick St,Fitzroy,3065,-37.797993,144.978668
Pizza By The Metre,86,43,29 Grattan St,Carlton,3053,-37.80101,144.968506
Plough and Harrow,0,0,596 Swanston St,Carlton,3053,-37.802551,144.963776
Pollen Industries,100,9,157 brunswick st fitzroy,Fitzroy,3065,-37.80286,144.977524
Polly,93,49,401 Brunswick Street,Fitzroy,3065,-37.795143,144.978851
Primary Cafe,100,11,381 Royal Pde,Melbourne,3052,-37.784561,144.959106
Primary,81,22,399 Royal Parade,Melbourne,3052,-37.783669,144.959213
Prince Alfred Hotel,80,25,191 Grattan St,Carlton,3053,-37.800373,144.962372
Pugg Mahones Irish Pub,80,15,175 Elgin Street,Carlton,3053,-37.797405,144.968765
QB's Cafe,83,12,263 Queensberry St,Carlton,3053,-37.804411,144.959916
Queensberry Hotel,75,12,593 Swanston Street,Carlton,3053,-37.804798,144.963043
Radio,87,16,79 Gertrude St,Fitzroy,3065,-37.805573,144.976974
Railway Hotel,81,33,800 Nicholson St,Fitzroy North,3068,-37.780567,144.978287
Rainbow Hotel,78,14,27 St. David Street,Fitzroy,3065,-37.800598,144.979324
Rakuzen Simple Japanese,50,8,149 Grattan St,Carlton,3053,-37.800564,144.964188
Rathdowne Street Food Store,75,66,617 Rathdowne St,Carlton North,3054,-37.790752,144.971436
Red Capsicum,100,2,259 Queensberry St,Carlton,3053,-37.804298,144.959991
Red Chilli,100,9,223 Brunswick St,Fitzroy,3065,-37.800755,144.977875
Red Olive,79,81,213 St Georges Rd,Fitzroy North,3068,-37.784164,144.982895
Red Rice,90,54,193 Brunswick St,Fitzroy,3065,-37.80175,144.977707
Red Rock Pizza Bar,77,22,183 Elgin St,Carlton,3053,-37.797375,144.968506
Red Tongue,74,70,275 Brunswick St,Fitzroy,3065,-37.799156,144.978149
Regent Thai,80,20,109 Queens Pde,Clifton Hill,3068,-37.789425,144.989853
Residential Kitchen,72,125,499-501 Lygon street,Carlton North,,-37.784461,144.969498
Rice Bar Not Only Rice,66,45,121 Grattan St,Carlton,3053,-37.800648,144.965286
Rize BBQ &amp; Restaurant,100,4,262 Brunswick st,Fitzroy,3065,-37.799496,144.978424
Rochester Castle Hotel,89,19,202 Johnston St,Fitzroy,3065,-37.798801,144.981705
Rose Hotel,86,117,406 Napier St,Fitzroy,3065,-37.795509,144.981384
Rossi's Pizza &amp; Pasta,92,13,160 Rathdowne Street,Carlton,3053,-37.798218,144.970184
Roy's Cafe,100,7,117 Grattan Street,Carlton,3053,-37.80072,144.965576
Royal Aiyara Thai,78,14,230 Lygon St,Carlton,3053,-37.801823,144.966904
Royal Hotel,97,170,41 Spensley St,Clifton Hill,3068,-37.788776,144.997467
Royal Park Hotel,78,32,405 Queensberry St,North Melbourne,3051,-37.80331,144.95018
Rrose Bar,90,32,7 Errol St,North Melbourne,3051,-37.804848,144.949127
Rubicon Restaurant &amp; Bar,58,73,50 Errol St,Melbourne,3051,-37.803886,144.949646
S&amp;J Sushi Noodle Town,60,30,"31 Errol St, North Melbourne 3051 VIC",Melbourne,3051,-37.804157,144.949265
Saigon Pho,95,42,106 Lygon Street,Melbourne,3053,-37.804565,144.966431
Sale and Pepe,38,26,232 Lygon St,Carlton,3053,-37.801781,144.966904
Salve Caffe &amp; Cucina,75,12,"617 Rathdowne Street, North Carlton",Melbourne,3054,-37.790764,144.971436
Sambal Malaysia 吉隆坡炒粉麵檔,83,49,74 Victoria St,Carlton,3053,-37.806699,144.965353
