name,rating,number_voted,street,suburb,postcode,lat,lon
Breizoz French Creperie,92,92,49 Brunswick St,Fitzroy,3065,-37.805878,144.977036
Briscola Espresso &amp; Pannini Bar,78,23,157 Pelham Street,Carlton,3053,-37.802372,144.961578
Brooze Restaurant,64,37,649 Rathdowne St North Carlton,Melbourne,3054,-37.789963,144.971573
Browns Bakery,56,23,329 Lygon St,Carlton,3053,-37.797699,144.967285
Brunetti,79,542,204 Faraday St,Carlton,3053,-37.79858,144.967819
Brunswick Street Alimentari,86,82,251 Brunswick St,Fitzroy,3065,-37.799709,144.978058
Burlesque Bar,88,25,42 Johnston St,Fitzroy,3065,-37.798203,144.976288
Burmese Kitchen,97,47,356 St Georges Rd,Fitzroy North,3068,-37.77943,144.987366
Cafe 58 Vietnamese Cuisine,94,74,58 Johnston St,Fitzroy,3065,-37.798241,144.976669
Cafe Cavallino,80,98,181 Lygon St,Carlton,3053,-37.801441,144.966644
Cafe Lua,95,20,169 Elgin St,Carlton,3053,-37.797462,144.969147
Cafe Metropole,0,3,44 Brunswick St,Fitzroy,,-37.80632,144.97728
Cafe Plum,62,8,193 Flemington rd,North Melbourne,3051,-37.795021,144.948853
Cafe Troy,87,24,713 Nicholson Street,Melbourne,3068,-37.782837,144.977356
Cafe Trutrack,74,43,52 Leveson St,North Melbourne,,-37.803493,144.951202
Caffettino,100,6,43 Gertrude Street,Melbourne,3065,-37.80542,144.975647
Café 639,58,12,639 Rathdowne St,Carlton North,3054,-37.790165,144.971527
Café Alleri,83,6,400 Rathdowne St,Carlton North,3054,-37.787899,144.972382
Café Corretto,85,169,225-227 Lygon Street,Carlton,3053,-37.799927,144.966904
Café Crema,69,13,488 Swanston St,Carlton,3053,-37.805386,144.963272
Café Italia,74,112,66 University St,Carlton,3053,-37.799309,144.968155
Café Notturno,56,98,179 Lygon St,Carlton,3053,-37.801552,144.966614
Café Nova,69,66,307 Brunswick St,Fitzroy,3065,-37.797989,144.978348
Café Pinocchio Carlton,78,28,298 Rathdowne St,Carlton North,3054,-37.79166,144.971756
Café Quince,82,63,43 Spensley St,Clifton Hill,3068,-37.788727,144.997803
Café Six Two,50,2,62 Lygon Street,Carlton,3053,-37.805248,144.966324
Café Tre Sette,64,17,139 Bouverie St,Carlton,3053,-37.803207,144.961807
Café Trevi,47,44,296 Lygon St,Carlton,3053,-37.800042,144.967327
Café Umago,75,81,171 Brunswick St,Fitzroy,3065,-37.802509,144.977554
Café Zum Zum,91,175,645 Rathdowne St,Carlton North,3054,-37.790047,144.971558
Calabrian Ristorante,94,17,406 Rathdowne Street,Carlton North,3054,-37.787853,144.972397
Campos Coffee,94,50,144 Elgin St,Carlton,3053,-37.797256,144.969681
Cape Cafe &amp; Cape Live,20,5,298 Brunswick St,Fitzroy,3065,-37.798283,144.978622
Carlton Curry House,76,65,"108 Lygon Street, Carlton",Melbourne,3053,-37.804531,144.966431
Carlton Espresso,86,152,326 Lygon St,Carlton,3053,-37.799267,144.967346
Carlton Paragon Café,73,42,651 Rathdowne St,Carlton North,3054,-37.789925,144.971573
Carlton Yacht Club,91,34,298 Lygon St,Carlton,3053,-37.799923,144.967224
Casa Del Gelato,87,48,163 Lygon Street,Carlton,3053,-37.80188,144.966553
Casa Farro,84,142,161 Nicholson St,Carlton,3053,-37.796432,144.974865
Casa Iberica,96,33,25 Johnston Street,Fitzroy,3065,-37.797905,144.975876
Castle Hotel,60,25,56 Courtney St,Melbourne,3051,-37.800922,144.952896
Castro's Kiosk,100,4,"University Of Melb Building 155/ Grattan St, Parkville",Melbourne,3053,-37.800522,144.963837
Cavallini,89,96,354 Queens Pde Clifton Hill,Clifton Hill,3068,-37.788082,144.991425
Cem Sultan Kebabs,71,7,296 Queens Parade,Clifton Hill,3068,-37.788742,144.989807
Chai - Eat Like Malaysian,79,81,127 Pelham St,Carlton,3053,-37.802654,144.964066
Char Siu House,82,35,37 Errol Street,North Melbourne,3051,-37.804073,144.949265
Charcoal Lane,87,123,136 Gertrude St,Fitzroy,3065,-37.806038,144.978912
Cherry Lounge,50,14,359 Brunswick Street,Fitzroy,3065,-37.796429,144.978622
Chiangmai Thai Cuisine‎,68,25,121 Lygon St,Carlton,3053,-37.804146,144.966156
Chianti Bistro,85,28,"376 Queens Parade, Clifton Hill",Clifton Hill,3068,-37.787827,144.991867
Chicken on Lygon,100,1,61 lygon st,Melbourne,3053,-37.805058,144.966019
Chin Chin's at Koto Moon,87,93,647 Rathdowne St,Carlton North,3054,-37.790005,144.971558
China Bar,40,5,325 Brunswick St,Fitzroy,3065,-37.797428,144.978439
China Style,62,29,743 Swanston St,Carlton,3053,-37.800594,144.963776
Chocolateria San Churro,50,24,175 Lygon Street,Carlton,3053,-37.801586,144.966614
Chocolateria San Churro,74,58,277 Brunswick St,Fitzroy,3065,-37.798939,144.97818
Chongqing Hot Pot,90,22,654 Elizabeth St,Melbourne,03000,-37.803074,144.958344
Chopsticks House,79,29,369 Brunswick St,Fitzroy,3065,-37.7962,144.978638
Cicalata,90,44,323 Lygon Street,Carlton,3053,-37.797771,144.967285
Cinema Nova Bar,68,19,380 Lygon St,Carlton,3053,-37.797878,144.96759
Clare Castle Hotel,82,35,421 Rathdowne St,Carlton,3053,-37.796463,144.970505
Classic Curry Company,79,202,597 Elizabeth St,Melbourne,3000,-37.804272,144.958221
Claypots Seafood &amp; Wine,92,53,153 Gertrude St,Fitzroy,3065,-37.805855,144.979614
Clyde Hotel,82,28,385 Cardigan Street,Carlton,3053,-37.797192,144.965881
Cocca Nova Cafe,91,46,727 Nicholson Street,Melbourne,3068,-37.78236,144.977478
Colmao Flamenco,56,58,72 Johnston St,Fitzroy,3065,-37.798283,144.97699
Colours Cafe,100,1,526 Swanston St,Carlton,3053,-37.804382,144.96344
Commercial Club Hotel,85,14,344 Nicholson Street,Fitzroy,3065,-37.794571,144.975677
Comrades Bar,100,1,514 Swanston St,Carlton,3053,-37.804787,144.963379
Connoisseur Cafe,0,0,"Shop 27, Lygon Court, 380 Lygon Street",Melbourne,3053,-37.797878,144.96759
Copperwood,46,62,318 Lygon St,Carlton,3053,-37.799576,144.967285
Corner Store Café,57,38,100 Scotchmer St,Fitzroy North,3068,-37.783234,144.982147
Cruzao Arepa Bar,79,144,365 Brunswick Street,Fitzroy,3065,-37.796291,144.978622
Cupido,44,106,152 Lygon st,Carlton,3053,-37.803581,144.966599
Cure Bar &amp; Eatery,91,56,164 Rathdowne St,Carlton,3053,-37.798214,144.970184
Curry and Spice,69,23,149 Queens Parade,Clifton Hill,03068,-37.788895,144.991104
Curve Restaurant &amp; Bar,40,5,441 Royal Pde Vibe Hotel Carlton,Carlton North,3052,-37.782703,144.95932
Cutler &amp; Co,83,592,57 Gertrude St,Fitzroy,3065,-37.805473,144.976013
D.O.C. Pizza and Mozzarella Bar,79,667,295 Drummond St,Carlton,3053,-37.798946,144.968582
Da Salvatore,75,54,29 Grattan St,Carlton,3053,-37.801022,144.968506
Dan O'Connell Hotel,72,18,225 Canning Street,Carlton,3053,-37.793205,144.973495
Danny's Burgers,88,339,360 St Georges Rd,Fitzroy North,3068,-37.779312,144.987473
De Los Santos,83,117,175 Brunswick St,Fitzroy,3065,-37.802238,144.9776
Deco Wine Bar,88,62,209 St Georges Rd,Fitzroy North,3068,-37.784206,144.982864
Degani Bakery Cafe,73,19,619 Rathdowne St,Carlton North,3054,-37.790703,144.971436
Dench Bakers,76,156,109 Scotchmer St,Fitzroy North,3068,-37.783031,144.982651
Depot de Pain,75,64,693 Rathdowne Street,Carlton North,3054,-37.788696,144.971786
Dexter Bar &amp; Cafe,67,90,123 Queens Pde,Clifton Hill,3068,-37.789249,144.990295
Di Bella Coffee Roasting Warehouse,88,248,19-21 Leveson St,North Melbourne,3051,-37.804531,144.950714
Dimattina's,74,102,306 Lygon St,Carlton,3053,-37.799786,144.967255
Django Django,57,59,356 Brunswick St,Fitzroy,3065,-37.796658,144.978882
Dochana,0,1,450 nicholson street,Fitzroy North,3068,-37.78912,144.976715
Don Tojo,100,2,164 Cardigan St,Melbourne,3053,-37.801235,144.9655
Don Vincenzo,60,51,301 Brunswick St,Fitzroy,3065,-37.798172,144.978317
Donnini's,82,110,320 Lygon St,Carlton,3053,-37.799541,144.967285
Downtowner on Lygon,100,3,66 Lygon Street,Melbourne,3053,-37.805096,144.966339
Dumpling Town Chinese Restaurant,69,13,122 Lygon Street,Carlton,3053,-37.804138,144.966507
East Imperial Chinese,66,59,323 Rathdowne St,Carlton,3053,-37.799068,144.969986
Eat Drink Man Woman,78,61,413 Brunswick Street,Fitzroy,3065,-37.794621,144.978928
Egg Sake Bistro,80,5,Bldg 130/ 156 Grattan St,Melbourne,3052,-37.796097,144.961441
El Gaucho,75,52,454 Nicholson St,Fitzroy North,3068,-37.789062,144.97673
Embrasse Restaurant,83,142,312 Drummond St,Carlton,3053,-37.798363,144.968994
Enoteca Vino Bar,86,90,920 Lygon St,Carlton North,3054,-37.784184,144.969925
Enotecca Oggi,50,14,237 lygon st Carlton,Carlton,3053,-37.799812,144.966904
Errol's,70,58,69-71 Errol St,North Melbourne,3051,-37.803476,144.949263
Es Teler 77 (Carlton),86,37,164 Cardigan St,Carlton,3053,-37.801113,144.965515
Es,0,0,388 Brunswick St,Fitzroy,3065,-37.795647,144.979065
Esposito at Toofey's,77,90,162 Elgin St,Carlton,3053,-37.797192,144.969208
Evelyn Hotel,100,6,"351 Brunswick Street,",Fitzroy,3065,-37.796616,144.978577
Faces and Places,50,4,6 Errol Street,Melbourne,3051,-37.805073,144.949432
Fandango,89,219,97 Errol St,Melbourne,3051,-37.8027,144.949524
Fatigo Cafe,100,4,268 Nicholson Street,Fitzroy,3065,-37.79686,144.975281
Figs Café,81,43,787 Nicholson Street,Carlton North,3054,-37.780899,144.977696
Filou's Patisserie,93,81,Cnr Lygon &amp; Fenwick St,Carlton North,,-37.787338,144.969894
Fishionable Chippery,88,54,779 Nicholson St,Melbourne,3068,-37.781178,144.977692
Fitz Curry Cafe,91,90,44 Johnston St,Fitzroy,3065,-37.79821,144.976334
Flavour Cafe Bar,61,21,55 Flemington Rd,North Melbourne,3051,-37.799702,144.954666
Foo Go's,76,17,258 Elgin St,Carlton,3053,-37.796806,144.965637
French Quarter - Patisserie Boulangerie,84,57,570 Queensberry St,Melbourne,,-37.802761,144.948425
Front Cooking School &amp; Bistro,100,8,242 Lygon St,Carlton,3053,-37.80151,144.966949
Fu Lu Chinese Cafe &amp; Take Away,81,16,172 Rathdowne Street,Carlton,3053,-37.798206,144.970184
Garage Cafe,58,50,221 Berkeley St,Carlton,3053,-37.800171,144.958603
Gelamania Gelatobar,100,1,105 Elgin Street,Carlton,3053,-37.797672,144.971207
Gelatissimo Carlton,81,16,197 Lygon Street,Carlton,3053,-37.800957,144.966721
Genevieve's Fine Food,100,1,87 Cardigan Street,Carlton,3053,-37.804867,144.964523
Gerald's Bar,85,95,386 Rathdowne Street,Carlton North,3054,-37.788303,144.972321
Gertrude Hotel,90,33,148 Gertrude Street,Fitzroy,3065,-37.80608,144.979263
Gertrude's Brown Couch,44,25,30 Gertrude St,Fitzroy,3065,-37.805637,144.975128
Golden Prawn,80,5,106 Lygon St,Carlton,3053,-37.804565,144.966431
Great Northern Hotel,80,57,644 Rathdowne St,Carlton North,3054,-37.782017,144.973328
Green Grocer,76,88,217 St Georges Rd,Fitzroy North,3068,-37.784126,144.982925
Grigons &amp; Orr,71,107,445 Queensberry St,North Melbourne,3051,-37.803337,144.950439
Grill'd,85,63,350 Brunswick St (rear) at Kerr and Brunswick,Fitzroy,,-37.796623,144.978561
Grill'd,85,85,350 Lygon St,Melbourne,,-37.798786,144.967438
Growers Espresso,100,3,332 St Georges Road,Fitzroy North,3068,-37.780251,144.986694
Gurkhas,63,41,258 Lygon St,Carlton,3053,-37.801243,144.966995
Gurkhas,80,30,167 St Georges Rd,Fitzroy North,3068,-37.78513,144.982086
Guru Da Dhaba,76,17,240 John St,Fitzroy,3065,-37.800369,144.976517
Gutz Café,77,27,221 Brunswick St,Fitzroy,3065,-37.800701,144.977875
Gypsy Bar,82,28,334 Brunswick St,Fitzroy,3065,-37.797234,144.978806
Happy Inn,91,23,723 Nicholson St,Melbourne,3068,-37.782455,144.977463
Hooked,80,46,384 Brunswick St,Fitzroy,3065,-37.795761,144.979065
Hot Poppy,75,108,9 Errol St,Melbourne,3051,-37.804771,144.949158
Hotel Lincoln,82,58,91 Cardigan St,Carlton,3053,-37.80452,144.9646
Hotel Metropolitan,81,44,42 Courtney St,Melbourne,3051,-37.801346,144.953384
Hotel Milan,0,0,Level 1 /190 Lygon St,Carlton,3053,-37.80267,144.966736
Houndstooth,91,73,36 Johnston St,Fitzroy,3065,-37.798191,144.976151
Huxtable,82,207,131 Smith St,Fitzroy,3065,-37.80515,144.982856
I Know a Place,85,7,"Rear, 451 Brunswick St",Fitzroy,3065,-37.793514,144.979095
Ici,82,88,359 Napier St,Fitzroy,3065,-37.79678,144.980835
Idibidi,33,3,356 Brunswick St,Fitzroy,3065,-37.796669,144.978897
Il Cantuccio,79,39,"209 Lygon Street, Carlton",Melbourne,3053,-37.80048,144.966782
Il Carretto,85,85,479 Nicholson St,Melbourne,03054,-37.788303,144.976364
Il Dolce Freddo,91,187,116 Lygon Street,Carlton,3053,-37.804237,144.966476
Il Duce Si Diventa,0,2,303 Drummond St,Carlton,3053,-37.798653,144.968628
Il Fresco,0,0,"Shop 9, Lygon Court, 380 Lygon Street",Melbourne,3053,-37.797878,144.96759
Il Gambero on the Park,80,57,166 Lygon St,Carlton,03053,-37.803192,144.96666
Il Gusto,27,22,256 Lygon Street,Carlton,3053,-37.801212,144.96701
Il Primo Ristorante,40,5,242 Lygon St,Carlton,3053,-37.801575,144.966949
Il Vicolo,89,29,50 Grattan St,Carlton,3053,-37.800701,144.967941
In Season Thai Cuisine‎,83,42,279 Victoria St,Melbourne,3051,-37.805538,144.952057
Indya Bistro,71,73,643 Rathdowne Street,Carlton North,3054,-37.790085,144.971558
Ink Bar and Restaurant,62,27,5 Rae St,Fitzroy North,3068,-37.792816,144.97818
Intersection Cafe,50,22,341-343 Lygon Street,Carlton,3053,-37.797365,144.967253
Jasper Coffee,100,8,267 Brunswick St,Fitzroy,3065,-37.799313,144.978134
Jimmy Watson's Wine Bar,90,60,333 Lygon St,Carlton,3053,-37.797489,144.967316
Joe's Garage,53,115,366 Brunswick St,Fitzroy,3065,-37.796387,144.978928
John Curtin Hotel,100,9,29 Lygon Street,Carlton,3053,-37.806255,144.965805
Jorg,79,170,203 St Georges Road,Fitzroy North,3068,-37.784382,144.982727
Juanita's Cafe,95,21,370 Brunswick Street,Melbourne,3065,-37.796238,144.978973
Julio,90,40,171 Miller St,Fitzroy North,3068,-37.776878,144.986984
KL Bunga Raya,70,72,"34 Errol Street, North Melbourne, VIC",North Melbourne,3051,-37.804188,144.949585
Kanela Flamenco Tapas Bar &amp; Restaurant,81,61,56 Johnston St,Fitzroy,3065,-37.798237,144.976624
Kanoodles,100,12,2/520 Victoria Street,North Melbourne,3051,-37.804897,144.948807
Kantara Lebanese,83,6,Shop 2520 Victoria St,Melbourne,3051,-37.804474,144.950317
Kari Guru,40,5,450 Nicholson St,Fitzroy North,3068,-37.789146,144.976715
Kazen,71,28,201 Brunswick St,Fitzroy,3065,-37.801365,144.977768
Ken Oriental Noodle Bar,0,0,"Shop 10, Lygon Court, 380 Lygon Street",Melbourne,3053,-37.797878,144.96759
Ken Oriental Noodle Bar,0,0,380 Lygon St Shop 10 Lygon Court,Melbourne,3053,-37.797878,144.96759
Kent Hotel,69,63,370 Rathdowne St,Carlton,3053,-37.797852,144.97023
Key on the Wall,90,71,336 Lygon St,Carlton,3053,-37.799065,144.967377
Koko Black,91,103,167 Lygon St,Carlton,3053,-37.801846,144.966568
L'Angolo Italiano,83,154,350-352 Nicholson Street,Fitzroy,3065,-37.794201,144.975754
L'Osteria,81,59,616 Nicholson St,Fitzroy North,3068,-37.784782,144.977493
La Cacciatora,77,58,29 Grattan St,Carlton,3053,-37.80101,144.968506
La Contadina Ristorante,70,30,170 Rathdowne St,Carlton,3053,-37.798252,144.970184
La Fruita Passione,0,0,"381 Brunswick Street, 3065",Melbourne,3065,-37.795773,144.978745
La Luna Bistro,89,284,320 Rathdowne St,Carlton North,3054,-37.791092,144.971863
La Notte,74,62,146 Lygon St,Carlton,3053,-37.803749,144.966553
La Parisienne Pates,93,29,290 Lygon St,Carlton,3053,-37.800194,144.967163
La Porchetta Carlton North,48,47,392 Rathdowne St,Melbourne,3054,-37.788193,144.972336
La Porchetta North Melbourne,60,58,308 Victoria St,Melbourne,3000,-37.80592,144.956348
La Sangria Bar,83,12,46 Johnston St,Fitzroy,3065,-37.798222,144.976364
La Sera,72,44,393-395 St Georges Road,Fitzroy North,3068,-37.77832,144.987946
La Spaghettata,75,61,238 Lygon St,Carlton,3053,-37.801659,144.966934
La Spaghetteria Ristorante,48,27,132 Lygon St,Carlton,3053,-37.804005,144.966522
Labour in Vain,84,13,197A Brunswick St,Fitzroy,3065,-37.801468,144.977753
Lado Red Leaf,89,19,2 Boundary Rd,North Melbourne,3051,-37.795361,144.939056
Lai Thai,73,41,244 St Georges Rd,Fitzroy North,3068,-37.783546,144.983826
Lakeside Bistro at Melbourne Zoo,80,5,Elliott Ave,Parkville,3052,-37.787796,144.951874
Lakshmi,87,32,687 Rathdowne St,Carlton North,3054,-37.788963,144.971756
Lamb on Brunswick Street,86,29,314 Brunswick St,Fitzroy,,-37.797851,144.978789
Lambs Restaurant,37,16,100 Lygon St,Carlton,3053,-37.804676,144.966415
Lanna Thai,84,59,65 Flemington Rd,North Melbourne,3051,-37.799282,144.954117
Lazzat on Lygon,42,14,112 Lygon Street,Melbourne,3053,-37.804459,144.966446
Le Cellier,83,6,"Shop 2, 231 Brunswick St",Fitzroy,3065,-37.800457,144.977921
Lemongrass,49,81,176 Lygon St,Carlton,3053,-37.802986,144.96669
Lesley's Cafe,100,1,199 Lygon Street,Carlton,3053,-37.800888,144.966736
LevelOne Restaurant &amp; Bar,88,35,"Level 1, 90 Queensberry Street",Carlton,3053,-37.804707,144.966354
Libation,88,18,302 Brunswick St,Fitzroy,3065,-37.798161,144.978653
Libertine,82,209,500 Victoria St,North Melbourne,3051,-37.805023,144.949326
Limerick Castle Hotel,80,5,161 Errol St,North Melbourne,3051,-37.801025,144.949814
Little Creatures Dining Hall,84,544,222 Brunswick St,Fitzroy,3065,-37.800915,144.978165
Little Italy Pasta House,66,27,143 Lygon St,Carlton,3053,-37.803761,144.966232
Little Lygon Bar and Grill,30,30,220 Lygon St,Carlton,3053,-37.801968,144.966873
Little Tony's,68,45,157 Queens Pde,Clifton Hill,3068,-37.788845,144.991226
Loafer Bread Organic Bakery,95,68,146 Scotchmer Street,Fitzroy North,3068,-37.78344,144.983978
Locusta,25,8,171 Lygon St,Carlton,3053,-37.801746,144.966583
LongPlay,82,39,318 St Georges Rd,Fitzroy North,3068,-37.780487,144.986465
Lord Newry Hotel,80,30,543 Brunswick St,Fitzroy North,3068,-37.790775,144.979568
Los Amates,86,342,34 Johnston St,Fitzroy,3065,-37.798187,144.976105
